# Steen sample-text candidate inventory.
#
# Provenance: the ten sample-text pages of Jan van Steenbergen's Interslavic
# site (https://steen.free.fr/interslavic/), which publish each text three
# times in parallel: etymological/flavored Latin, standard Latin, Cyrillic.
# `source_text` is the standard-Latin version; `flavored_text` is the
# etymological version as published by the source, and is empty for
# maly_princ.html, which pairs standard spelling with an English gloss
# instead.
#
# Rows are sentences, mined with quotation tracking. A sentence inside
# direct speech is still a sentence, so it is its own row; the surrounding
# quotation's delimiters belong to the span, not to it, and are stripped.
# `framed` marks a sentence that carries a quotative frame of its own
# (words outside the quotation, as in `«Ne», odgovoril pes.`) — there the
# marks are structural and are kept. `quoted` marks a sentence that sits
# inside direct speech.
#
# `disposition` is `fixture:<case id>` or `skip:<reason>`; it must be
# non-empty for every row. tests/corpus_inventory.rs enforces that, and each
# fixture file asserts its own ids appear here.
id	page	index	source_text	flavored_text	framed	quoted	disposition
wren-003	wren	3	Poslě někojego vrěmene, otec strižik vratil se do doma.	Poslě někojego vrěmene, otėc strižik vråtil sę do doma.	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
wren-004	wren	4	«Čto stalo se tu?», zapytal.	«Čto stalo sę tu?», zapytal.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-005	wren	5	Kto vam zlo učinil, děti?	Kto vam zlo učinil, děti?	no	yes	skip:vocative-edge: the facade has the vocative, but no phrase-level address slot uses it yet
wren-006	wren	6	Vy jeste cělo prěstrašeni!	Vy jeste cělo prěstrašeni!	no	yes	skip:degree-adverb: a degree adverb modifying a predicate, which the copular core cannot carry
wren-007	wren	7	«Oj, tato», skazali oni, «toliko čto bylo tu někako veliko čudovišče.	«Oj, tato», skazali oni, «toliko čto bylo tu někako veliko čudovišče.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-008	wren	8	Ono bylo zaisto grozno i strašno!	Ono bylo zaisto grozno i strašno!	no	yes	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
wren-009	wren	9	Gledělo svojimi velikymi očami bezposrědnje v naše gnězdo.	Ględělo svojimi velikymi očami bezposrědnje v naše gnězdo.	no	yes	skip:byform-leak: `cells::variants` does not split `" / "` byforms, so the instrumental plural of `oko` reaches output as the single token `očami / očesami`
wren-010	wren	10	Zato my jesmo taki prěstrašeni!	Zato my jesmȯ taki prěstrašeni!	no	yes	skip:degree-adverb: a degree adverb modifying a predicate, which the copular core cannot carry
wren-011	wren	11	«Aha, jasno», skazal otec strižik, «a kamo pošlo?»	«Aha, jasno», skazal otėc strižik, «a kamo pošlo?»	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-012	wren	12	«Nu», odgovorili děti, «pošlo v tamtu stranu.»	«Nu», odgovorili děti, «pošlo v tamtų strånų.»	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-013	wren	13	«Počekajte sde», otec strižik skazal, «pojdu za njim.	«Počěkajte sde», otėc strižik skazal, «pojdų za njim.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-014	wren	14	Uže ne bojte se, děti.	Uže ne bojte sę, děti.	no	yes	skip:postposed-possessive-and-address: verse-order possessives after the noun, and imperative clauses whose addressee is named
wren-015	wren	15	Ja go shvaču.	Ja go shvaćų.	no	yes	fixture:wren-015
wren-016	wren	16	Potom on odletěl za čudoviščem.	Potom on odletěl za čudoviščem.	no	no	fixture:wren-016
wren-017	wren	17	Kogda on dosegnul za vuglom, on uviděl, že ide ljev.	Kȯgda on dosęgnųl za vųglȯm, on uviděl, že ide ljėv.	no	no	skip:facade-orthography: expressible and realized correctly except that the instrumental of `vųgȯl` comes out `vųglom` where Steen's text has `vųglȯm`
wren-018	wren	18	Ale strižik ne iměl strah.	Ale strižik ne iměl strah.	no	no	fixture:wren-018
wren-019	wren	19	Prizemil na hrebet ljva i načel go napominati.	Prizemil na hrėbet ljva i načęl go napominati.	no	no	skip:clause-coordination: coordinating two finite clauses is not modelled
wren-020	wren	20	«Kako ty imaješ pravo idti do mojego doma», rěkl, «i čemu jesi postrašil moje děti?!»	«Kako ty imaješ pravo idti do mojego doma», rěkl, «i čemu jesi postrašil moje děti?!»	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-021	wren	21	Ljev vpolno ignoroval go i šel dalje.	Ljėv vpȯlno ignoroval go i šėl dalje.	no	no	skip:clause-coordination: coordinating two finite clauses is not modelled
wren-022	wren	22	To razgněvalo malogo krikuna, ktory načel kričati ješče glasněje.	To råzgněvalo malogo krikuna, ktory načęl kričati ješče glåsněje.	no	no	skip:relative-clause-shape: gap role or relativizer form outside the supported subj/obj/pp set
wren-023	wren	23	Ty ne imaješ tam ničto do raboty, ja ti govorju!	Ty ne imaješ tam ničto do råboty, ja ti govorjų!	no	yes	skip:clause-coordination: two finite clauses, the first with negative concord
wren-024	wren	24	I ako ty tam ješče raz prijdeš», on skazal, «togda uvidiš něčto!	I ako ty tam ješče raz prijdeš», on skazal, «tȯgda uvidiš něčto!	yes	yes	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-025	wren	25	Ja napravdu ne hoču sdělati to», skazal, podimajuči jednu nogu, «ale tutoju nogoju mogu slomiti ti hrebet v jednoj sekundě!»	Ja napravdų ne hoćų sdělati to», skazal, podimajųći jednų nogų, «ale tutojų nogojų mogų slomiti ti hrėbet v jednoj sekundě!»	yes	yes	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-026	wren	26	Poslě togo on poletěl nazad do svojego gnězda.	Poslě togo on poletěl nazad do svojego gnězda.	no	no	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
wren-027	wren	27	«Dobro, děti», rěkl, «jesm dal mu lekciju.	«Dobro, děti», rěkl, «jesm dal mu lekcijų.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
wren-028	wren	28	Toj uže nikogda se tu ne vrati.	Toj uže nikȯgda sę tu ne vråti.	no	yes	skip:negative-concord: a negative pronoun alongside clausal `ne` is not modelled
selo-001	selo	1	Iz vsih možnyh měst postojannogo prěbyvanja, najprijemnějše javi mi se malo selo daleko od gradskogo šuma, malo susědstvo, bez mnogokomnatnyh domov v prěpolnjenyh blokah, ale s malymi drěvěnymi, selskymi domikami; [...] prosto, neopisujemo žilišče, s obyvateljami, čije lica sut nam ravno znane kako cvěty v našem sadu; maly, osobny svět za nas samyh, těsno sjedinjeny i zatvorjeny kako mravky v mravjej kopě, ili pčely v ulji, ili ovce v ovčarnji, ili mnišky v konventu, ili morjaki na korabu; kde my znajemo vsih i jesmo znajemi od vsih, kde interesujemo se vsimi i možemo iměti naděju, že vsi interesujut se nami.	Iz vsih možnyh měst postojannogo prěbyvańja, najprijėmnějše javi mi sę malo selo daleko od grådskogo šuma, malo sųsědstvo, bez mnogokomnatnyh domov v prěpȯlnjenyh blokah, ale s malymi drěvěnymi, seľskymi domikami; [...] prosto, neopisujemo žilišče, s obyvateljami, čije lica sųt nam råvno znane kako cvěty v našem sadu; maly, osobny svět za nas samyh, těsno sjedinjeny i zatvorjeny kako mråvky v mråvjej kopě, ili pčely v ulji, ili ovce v ovčarnji, ili mnišky v konventu, ili morjaki na korabu; kde my znajemȯ vsih i jesmȯ znajemi od vsih, kde interesujemȯ sę vsimi i možemȯ iměti nadějų, že vsi interesujųt sę nami.	no	no	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
selo-002	selo	2	Kako milo bylo by zanuriti se v tyh istinnyh srdečnyh čutjah milogo, nevědomogo vplyva privyčaja i poznati i poljubiti ljudij okolo nas, s vsimi jihnymi osoblivostami!	Kako milo bylo by zanuriti sę v tyh istinnyh sŕdėčnyh čuťjah milogo, nevědomogo vplyva privyčaja i poznati i poljubiti ljudij okolo nas, s vsimi jihnymi osoblivosťami!	no	no	skip:long-period: a single authorial sentence beyond what one clause tree expresses; not split, per the mining rules
selo-003	selo	3	Tako samo, kako poznajemo i poljubimo vse zakutky i povraty tenkyh uliček i solnečnyh lukov, ktore my prohodimo vsaky denj. [...]	Tako samo, kako poznajemȯ i poljubimȯ vse zakųtky i povråty tėnkyh uliček i sȯlnečnyh lųkov, ktore my prohodimȯ vśaky denj. [...]	no	no	skip:relative-clause-shape: gap role or relativizer form outside the supported subj/obj/pp set
selo-004	selo	4	Malo spoločenstvo, ktorym jest selska občina, jest takože samo dobro v svojej trězvoj stvarnosti, kako v poeziji ili prozě, [...] dolga, razprostranjena, motajuča se ulica u podnožja krasivoj vozvyšenosti, s širokoju dragoju poprěk, vsegda zapolnjenoju vozami i konnikami. [...]	Malo spolȯčenstvo, ktorym jest seľska obćina, jest takože samo dobro v svojej trězvoj stvårnosti, kako v poeziji ili prozě, [...] dȯlga, råzprostrånjena, motajųća sę ulica u podnožja krasivoj vȯzvyšenosti, s širokojų drågojų poprěk, vsegda zapȯlnjenojų vozami i konnikami. [...]	no	no	skip:relative-clause-shape: gap role or relativizer form outside the supported subj/obj/pp set
selo-005	selo	5	Ne hočete li pohoditi so mnoju po našem selu, ljubezny čitatelju?	Ne hoćete li pohoditi sȯ mnojų po našem selu, ljubezny čitatelju?	no	no	skip:vocative-edge: the facade has the vocative, but no phrase-level address slot uses it yet
selo-006	selo	6	Put ne bude dolgy.	Pųť ne bųde dȯlgy.	no	no	fixture:selo-006
selo-007	selo	7	My počnemo na dolnom koncu i odtud budemo šli v vrh.	My počnemȯ na doľnom koncu i odtųd bųdemȯ šli v vŕh.	no	no	skip:clause-coordination: coordinating two finite clauses is not modelled
volk_i_pes-001	volk_i_pes	1	Gladny volk podšel k staromu psu i rěkl: «Dragy prijatelju, jesm taky gladny, že ne mogu spati.	Glådny vȯlk podšėl k staromu psu i rěkl: «Drågy prijatelju, jesm taky glådny, že ne mogų spati.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
volk_i_pes-002	volk_i_pes	2	Ale ty jesi veliky i tolsty.	Ale ty jesi veliky i tȯlsty.	no	yes	fixture:volk_i_pes-002
volk_i_pes-003	volk_i_pes	3	Kde dostavaješ svoju jedu?	Kde dostavaješ svojų jedų?	no	yes	fixture:volk_i_pes-003
volk_i_pes-004	volk_i_pes	4	Kde živeš?	Kde živeš?	no	yes	fixture:volk_i_pes-004
volk_i_pes-005	volk_i_pes	5	Kde ješ?	Kde ješ?	no	yes	fixture:volk_i_pes-005
volk_i_pes-006	volk_i_pes	6	«Ja jesm sluga svojego gospodara», odgovoril pes.	«Ja jesm sluga svojego gospodaŕa», odgovoril pės.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
volk_i_pes-007	volk_i_pes	7	Služu gospodara, strěguči jegov dom.	Služų gospodaŕa, strěgųći jegov dom.	no	yes	skip:participle-with-object: an adverbial participle governing an object (`strěgųći jegov dom`); the participle adjunct holds only a lemma and prepositional phrases
volk_i_pes-008	volk_i_pes	8	Zato moj gospodar davaje mi toliko jedy, koliko hoču.	Zato moj gospodaŕ davaje mi toliko jědy, koliko hoćų.	no	yes	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
volk_i_pes-009	volk_i_pes	9	Na čto volk govoril: «Ja živu velmi bědno.	Na čto vȯlk govoril: «Ja živų veľmi bědno.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
volk_i_pes-010	volk_i_pes	10	Denj i noč ja bludžu po lěsah i poljah, a ne nahodžu ničto do jedenja dlja ženy i dětij.	Dėnj i noć ja blųđų po lěsah i poljah, a ne nahođų ničto do jedeńja dlja ženy i dětij.	no	yes	skip:coordination-shape: three-or-more-way or nested coordination
volk_i_pes-011	volk_i_pes	11	Tako ne mogu žiti dolžeje.	Tako ne mogų žiti dȯlžeje.	no	yes	skip:adverb-position: `dȯlžeje` follows the infinitive; this generator places adverbs before the verb
volk_i_pes-012	volk_i_pes	12	Moja žena i moje děti umirajut od glada.	Moja žena i moje děti umirajųt od glåda.	no	yes	fixture:volk_i_pes-012
volk_i_pes-013	volk_i_pes	13	Zato ja takože budu sluga ljudij i budu strěgti jihne domy.	Zato ja takože bųdų sluga ljudij i bųdų strěgti jihne domy.	no	yes	skip:nominal-complement: a genitive complement inside a predicate noun phrase
volk_i_pes-014	volk_i_pes	14	Pes i volk zajedno poběgli črěz lěsy do doma psa.	Pės i vȯlk zajedno poběgli črěz lěsy do doma psa.	no	no	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
volk_i_pes-015	volk_i_pes	15	Naglo volk uviděl pesju šiju.	Naglo vȯlk uviděl pėśjų šijų.	no	no	fixture:volk_i_pes-015
volk_i_pes-016	volk_i_pes	16	Udivjeny, on rěkl: «Vidžu, že na tvojej šiji nemaje vlasov.	Udivjeny, on rěkl: «Viđų, že na tvojej šiji nemaje vlåsov.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
volk_i_pes-017	volk_i_pes	17	Imajut li vsi psi šije bez vlasov?	Imajųt li vsi psi šije bez vlåsov?	no	yes	fixture:volk_i_pes-017
volk_i_pes-018	volk_i_pes	18	«Ne», odgovoril pes.	«Ne», odgovoril pės.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
volk_i_pes-019	volk_i_pes	19	Ne vsi psi.	Ne vsi psi.	no	yes	skip:fragment: an elliptical turn with no finite predicate
volk_i_pes-020	volk_i_pes	20	Ale kogda jest denj, ja nošu verigu.	Ale kȯgda jest dėnj, ja nošų verigų.	no	yes	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
volk_i_pes-021	volk_i_pes	21	V tečenju dnja ležu prěd domom gospodara na verigě.	V tečeńju dnja ležų prěd domom gospodaŕa na verigě.	no	yes	skip:oblique-in-copular: a bare oblique adverbial in a copular clause, which has no verb phrase to host it
volk_i_pes-022	volk_i_pes	22	Verigy sut želězne, a želězo jest tvrdo.	Verigy sųt želězne, a želězo jest tvŕdo.	no	yes	skip:clause-coordination: two finite clauses joined by `a`
volk_i_pes-023	volk_i_pes	23	Iz toj pričiny ne imaju vlasy na šiji.	Iz toj pričiny ne imajų vlåsy na šiji.	no	yes	skip:fronted-adjunct: `Iz toj pričiny` is a clause-initial prepositional adjunct
volk_i_pes-024	volk_i_pes	24	Ale nočju jesm svobodny.	Ale noćjų jesm svobodny.	no	yes	skip:oblique-in-copular: a bare oblique adverbial in a copular clause, which has no verb phrase to host it
volk_i_pes-025	volk_i_pes	25	V noči bludžu vesde, kde hoču.	V noći blųđų vėsde, kde hoćų.	no	yes	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
volk_i_pes-026	volk_i_pes	26	«Dragy brate», volk govoril psu.	«Drågy brate», vȯlk govoril psu.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
volk_i_pes-027	volk_i_pes	27	Glad jest težky, ale veriga jest težejša.	Glåd jest tęžky, ale veriga jest tęžejša.	no	yes	skip:clause-coordination: two finite clauses joined by `ale`
volk_i_pes-028	volk_i_pes	28	Ne nošu verigu i ne budu nositi verigu.	Ne nošų verigų i ne bųdų nositi verigų.	no	yes	skip:clause-coordination: two negated verb phrases each carrying their own `ne`
volk_i_pes-029	volk_i_pes	29	Lučše, da byhmo s ženoju i dětami umrěli iz glada.	Lučše, da byhmo s ženojų i děťami umrěli iz glåda.	no	yes	skip:degree: the bare comparative `Lučše` heading a `da byhmo` clause
volk_i_pes-030	volk_i_pes	30	Běži do svojego gospodara sam.	Běži do svojego gospodaŕa sam.	no	yes	skip:intensifier: the postposed intensifier `sam`
volk_i_pes-031	volk_i_pes	31	Lučše byti gladny neželi tolsty; lučše byti svobodny neželi nositi verigu.	Lučše byti glådny neželi tȯlsty; lučše byti svobodny neželi nositi verigų.	no	yes	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
schleicher-001	schleicher	1	Na vozvyšenosti ovca, ktora ne iměla volnu, uviděla konjev.	Na vȯzvyšenosti ovca, ktora ne iměla vȯlnų, uviděla konjev.	no	no	skip:relative-clause-shape: gap role or relativizer form outside the supported subj/obj/pp set
schleicher-002	schleicher	2	Prvy tegal težky voz, vtory nosil veliko brěme, tretji brzo vozil muža.	Pŕvy tęgal tęžky voz, vtory nosil veliko brěmę, tretji brzo vozil mųža.	no	no	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
schleicher-003	schleicher	3	Ovca rěkla konjam: «Boli mně srdce, kogda vidžu, kako člověk vladaje konjami.»	Ovca rěkla konjam: «Boli mně sŕdce, kȯgda viđų, kako člověk vladaje konjami.»	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
schleicher-004	schleicher	4	Konji rěkli: «Slušaj, ovco, nam boli srdce, kogda vidimo ovo: muž, gospodar, bere tvoju volnu, da by iměl dlja sebe teplo palto.	Konji rěkli: «Slušaj, ovco, nam boli sŕdce, kȯgda vidimo ovo: mųž, gospodaŕ, bere tvojų vȯlnų, da by iměl dlja sebe teplo paľto.	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
schleicher-005	schleicher	5	A ovca jest bez volny.	A ovca jest bez vȯlny.	no	yes	fixture:schleicher-005
schleicher-006	schleicher	6	Uslyšavši to, ovca izběgla v ravninu.	Uslyšavši to, ovca izběgla v råvninų.	no	no	skip:past-adverbial-participle: only clause-initial PRESENT active participles are supported
jokes-001	jokes	1	Prihodi muž do doktora i govori:	Prihodi mųž do doktora i govori:	no	no	skip:clause-coordination: two finite verbs sharing a subject, ending in a colon that introduces speech
jokes-002	jokes	2	— Pane doktore, ja imaju problem.	— Pane doktore, ja imajų problem.	no	no	skip:vocative-edge: the facade has the vocative, but no phrase-level address slot uses it yet
jokes-003	jokes	3	Ja myslju, že ne mogu iměti děti.	Ja mysljų, že ne mogų iměti děti.	no	no	fixture:jokes-003
jokes-004	jokes	4	— Čemu vy tako myslite?	— Čemu vy tako myslite?	no	no	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
jokes-005	jokes	5	— Tomu že moj otec takože ne iměl děti, i moj děd takože ne iměl.	— Tomu že moj otėc takože ne iměl děti, i moj děd takože ne iměl.	no	no	skip:dash-turn: a dialogue turn introduced by an em dash; the turn marker is a quotative device with no frame to model
jokes-006	jokes	6	— Vaš otec i vaš děd ne iměli děti?	— Vaš otėc i vaš děd ne iměli děti?	no	no	skip:dash-turn: a dialogue turn introduced by an em dash; the turn marker is a quotative device with no frame to model
jokes-007	jokes	7	Izvinite, ale togda odkud vy jeste?	Izvinite, ale tȯgda odkųd vy jeste?	no	no	skip:dash-turn: an imperative followed by a `wh` question, joined by `ale`, inside a dash-marked dialogue turn
